iter	Passed	Remaining
0	142	142550
1	143	71823
2	145	48229
3	145	36344
4	146	29222
5	148	24572
6	149	21144
7	149	18575
8	150	16620
9	151	15022
10	152	13715
11	153	12626
12	154	11703
13	154	10914
14	156	10309
15	157	9711
16	158	9187
17	160	8729
18	160	8310
19	161	7929
20	162	7594
21	163	7290
22	165	7010
23	166	6756
24	167	6517
25	168	6294
26	168	6089
27	169	5900
28	170	5716
29	171	5547
30	172	5387
31	173	5238
32	174	5100
33	174	4969
34	175	4845
35	176	4737
36	177	4629
37	178	4525
38	179	4424
39	180	4327
40	181	4236
41	181	4150
42	182	4066
43	183	3986
44	184	3912
45	185	3840
46	185	3770
47	186	3704
48	187	3640
49	188	3578
50	189	3519
51	189	3462
52	190	3406
53	191	3352
54	192	3303
55	193	3254
56	193	3207
57	194	3163
58	195	3119
59	196	3076
60	197	3035
61	198	2998
62	199	2960
63	199	2923
64	200	2886
65	201	2850
66	202	2815
67	202	2777
68	203	2746
69	204	2714
70	205	2683
71	205	2652
72	206	2622
73	207	2593
74	208	2566
75	208	2539
76	209	2512
77	210	2486
78	211	2460
79	211	2437
80	212	2413
81	213	2391
82	214	2369
83	215	2346
84	215	2322
85	216	2301
86	217	2277
87	217	2257
88	218	2237
89	219	2218
90	220	2198
91	220	2179
92	221	2162
93	222	2145
94	223	2127
95	224	2110
96	225	2096
97	226	2080
98	226	2065
99	227	2049
100	228	2035
101	229	2016
102	229	2001
103	230	1986
104	231	1973
105	232	1959
106	233	1945
107	233	1931
108	234	1918
109	235	1905
110	236	1892
111	236	1878
112	237	1865
113	238	1852
114	239	1840
115	239	1827
116	240	1815
117	241	1803
118	242	1792
119	242	1781
120	243	1769
121	244	1758
122	244	1745
123	245	1734
124	246	1723
125	247	1713
126	247	1703
127	248	1691
128	249	1681
129	249	1671
130	250	1661
131	251	1652
132	252	1643
133	252	1634
134	253	1625
135	254	1617
136	255	1608
137	255	1598
138	256	1590
139	257	1582
140	258	1573
141	258	1564
142	259	1556
143	260	1549
144	261	1541
145	262	1533
146	263	1526
147	263	1518
148	264	1511
149	265	1504
150	266	1496
151	266	1489
152	267	1482
153	268	1475
154	269	1468
155	270	1461
156	270	1454
157	271	1448
158	272	1441
159	273	1435
160	274	1428
161	274	1421
162	275	1415
163	276	1409
164	277	1403
165	278	1397
166	278	1390
167	279	1384
168	280	1378
169	281	1373
170	283	1373
171	284	1367
172	285	1362
173	285	1357
174	286	1351
175	287	1346
176	288	1340
177	289	1334
178	289	1329
179	290	1323
180	291	1316
181	291	1311
182	292	1306
183	293	1301
184	294	1296
185	294	1290
186	295	1285
187	296	1280
188	297	1275
189	298	1270
190	298	1265
191	299	1260
192	300	1256
193	301	1251
194	302	1247
195	302	1242
196	303	1238
197	304	1233
198	305	1228
199	306	1224
200	306	1220
201	307	1215
202	308	1211
203	309	1207
204	310	1202
205	311	1198
206	311	1194
207	312	1190
208	313	1186
209	314	1182
210	315	1177
211	315	1173
212	316	1169
213	317	1165
214	318	1161
215	318	1157
216	319	1153
217	320	1149
218	321	1145
219	322	1141
220	322	1137
221	323	1133
222	324	1130
223	325	1127
224	326	1123
225	326	1119
226	327	1116
227	328	1113
228	330	1112
229	332	1112
230	333	1110
231	334	1107
232	335	1104
233	336	1101
234	337	1098
235	338	1095
236	339	1092
237	340	1089
238	341	1086
239	342	1083
240	343	1080
241	344	1077
242	344	1074
243	345	1071
244	346	1068
245	347	1066
246	348	1063
247	349	1060
248	350	1057
249	351	1054
250	352	1052
251	353	1049
252	354	1046
253	355	1043
254	356	1040
255	357	1037
256	357	1034
257	358	1032
258	359	1029
259	360	1026
260	361	1023
261	362	1021
262	363	1018
263	364	1015
264	365	1013
265	366	1011
266	367	1008
267	368	1005
268	369	1003
269	370	1001
270	371	998
271	372	996
272	373	993
273	374	991
274	375	989
275	376	987
276	377	985
277	378	982
278	380	983
279	384	987
280	385	986
281	386	985
282	387	982
283	388	980
284	390	980
285	391	977
286	392	976
287	393	973
288	395	971
289	395	969
290	397	967
291	398	965
292	399	963
293	400	961
294	401	959
295	402	958
296	403	955
297	404	953
298	405	951
299	406	949
300	407	947
301	408	944
302	409	942
303	410	940
304	412	939
305	413	937
306	414	935
307	415	933
308	416	931
309	417	929
310	418	926
311	419	925
312	420	923
313	421	921
314	422	919
315	423	917
316	424	914
317	425	912
318	426	909
319	427	907
320	427	905
321	428	902
322	429	900
323	430	898
324	431	896
325	432	893
326	433	891
327	434	889
328	435	887
329	435	885
330	437	883
331	438	881
332	438	879
333	439	876
334	440	874
335	441	872
336	442	870
337	443	868
338	444	866
339	445	864
340	446	862
341	447	860
342	449	860
343	450	858
344	452	858
345	453	856
346	454	854
347	455	852
348	455	850
349	456	848
350	457	846
351	458	844
352	459	842
353	461	841
354	462	839
355	463	838
356	465	838
357	467	838
358	468	837
359	469	835
360	470	833
361	471	831
362	472	829
363	473	827
364	474	826
365	475	824
366	476	822
367	477	820
368	478	818
369	479	816
370	480	814
371	481	812
372	482	811
373	483	809
374	484	806
375	485	805
376	486	803
377	487	801
378	488	799
379	488	797
380	489	795
381	490	793
382	491	791
383	492	790
384	493	788
385	494	786
386	494	784
387	495	782
388	496	779
389	497	778
390	498	775
391	499	774
